variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
tipo_deuda_9,float64,5275,5272,0.9994,2,2.0 | 1.0,1.0,2.0
aquien_deben_9,float64,5275,5273,0.9996,2,7.0 | 4.0,4.0,7.0
aquien_cual_9,object,5275,5274,0.9998,1,A EL EMPLEADO,,
con_quien_9,float64,5275,5274,0.9998,1,8.0,8.0,8.0
destino1_9,float64,5275,5274,0.9998,1,12.0,12.0,12.0
destino2_9,float64,5275,5274,0.9998,1,0.0,0.0,0.0
destino3_9,float64,5275,5274,0.9998,1,0.0,0.0,0.0
destino4_9,float64,5275,5274,0.9998,1,0.0,0.0,0.0
fechai_mes_9,float64,5275,5274,0.9998,1,5.0,5.0,5.0
fechai_ano_9,float64,5275,5274,0.9998,1,2010.0,2010.0,2010.0
vr_inicial_9,float64,5275,5274,0.9998,1,100000.0,100000.0,100000.0
tasa_interes_9,float64,5275,5274,0.9998,1,4.0,4.0,4.0
tasa_period_9,float64,5275,5274,0.9998,1,1.0,1.0,1.0
cuota_9,float64,5275,5274,0.9998,1,4000.0,4000.0,4000.0
period_cuota_9,float64,5275,5274,0.9998,1,1.0,1.0,1.0
meses_plazo_9,float64,5275,5272,0.9994,3,6.0 | 9.0 | 1.0,1.0,9.0
vr_saldo_9,float64,5275,5272,0.9994,3,250000.0 | 400000.0 | 100000.0,100000.0,400000.0
tipo_deuda_10,float64,5275,5272,0.9994,1,1.0,1.0,1.0
aquien_deben_10,float64,5275,5275,1.0,0,,,
aquien_cual_10,float64,5275,5275,1.0,0,,,
con_quien_10,float64,5275,5272,0.9994,3,4.0 | 6.0 | 7.0,4.0,7.0
destino1_10,float64,5275,5272,0.9994,3,2.0 | 5.0 | 12.0,2.0,12.0
destino2_10,float64,5275,5272,0.9994,1,0.0,0.0,0.0
destino3_10,float64,5275,5272,0.9994,1,0.0,0.0,0.0
destino4_10,float64,5275,5272,0.9994,1,0.0,0.0,0.0
fechai_mes_10,float64,5275,5272,0.9994,3,4.0 | 5.0 | 11.0,4.0,11.0
