variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
choquec_2,float64,4578,4207,0.919,14,33.0 | 25.0 | 22.0 | 23.0 | 29.0,20.0,34.0
n_vecesc_2,float64,4578,4207,0.919,12,1.0 | 2.0 | 3.0 | 4.0 | 98.0,1.0,98.0
hizo1c_2,float64,4578,4207,0.919,17,20.0 | 22.0 | 4.0 | 10.0 | 16.0,1.0,22.0
hizo2c_2,float64,4578,4559,0.9958,4,17.0 | 21.0 | 13.0 | 5.0,5.0,21.0
hizo3c_2,float64,4578,4577,0.9998,1,18.0,18.0,18.0
afectaron_hogarc_2,float64,4578,4207,0.919,2,2.0 | 1.0,1.0,2.0
choquec_3,float64,4578,4458,0.9738,11,34.0 | 23.0 | 33.0 | 29.0 | 25.0,23.0,34.0
n_vecesc_3,float64,4578,4458,0.9738,10,1.0 | 2.0 | 3.0 | 8.0 | 6.0,1.0,20.0
hizo1c_3,float64,4578,4458,0.9738,14,4.0 | 22.0 | 20.0 | 12.0 | 21.0,1.0,22.0
hizo2c_3,float64,4578,4570,0.9983,2,21.0 | 17.0,17.0,21.0
afectaron_hogarc_3,float64,4578,4458,0.9738,2,1.0 | 2.0,1.0,2.0
choquec_4,float64,4578,4546,0.993,8,31.0 | 33.0 | 29.0 | 26.0 | 24.0,24.0,33.0
n_vecesc_4,float64,4578,4546,0.993,4,1.0 | 2.0 | 6.0 | 3.0,1.0,6.0
hizo1c_4,float64,4578,4546,0.993,5,20.0 | 22.0 | 21.0 | 4.0 | 13.0,4.0,22.0
hizo2c_4,float64,4578,4575,0.9993,1,5.0,5.0,5.0
hizo3c_4,float64,4578,4576,0.9996,1,6.0,6.0,6.0
afectaron_hogarc_4,float64,4578,4546,0.993,2,2.0 | 1.0,1.0,2.0
choquec_5,float64,4578,4571,0.9985,4,33.0 | 31.0 | 29.0 | 30.0,29.0,33.0
n_vecesc_5,float64,4578,4571,0.9985,2,1.0 | 8.0,1.0,8.0
hizo1c_5,float64,4578,4571,0.9985,4,22.0 | 4.0 | 1.0 | 20.0,1.0,22.0
hizo2c_5,float64,4578,4577,0.9998,1,5.0,5.0,5.0
hizo3c_5,float64,4578,4577,0.9998,1,6.0,6.0,6.0
afectaron_hogarc_5,float64,4578,4571,0.9985,2,1.0 | 2.0,1.0,2.0
vr_gtos_mensuales,int64,4578,0,0.0,175,400000 | 200000 | 700000 | 500000 | 300000,0.0,4000000.0
vr_gtos_mens_alim,int64,4578,0,0.0,117,300000 | 100000 | 400000 | 320000 | 20000,0.0,3000000.0
fhog,float64,4578,0,0.0,102,3.530487804878049 | 7.2375 | 2.88125 | 5.762499999999999 | 5.7625,2.7375000000000003,69.55
fexhog,float64,4578,0,0.0,101,0.4254352448773355 | 0.8721422519985378 | 0.347199981149677 | 0.6943999622993539 | 0.694399962299354,0.3298776393569599,8.38100084649372
riqueza_pca,float64,4578,0,0.0,3850,-1.4871876 | -0.2354742 | 14.124527 | -0.45110652 | 14.403579,-3.5962327,15.445033
tercil2010,int64,4578,0,0.0,3,2 | 3 | 1,1.0,3.0
