variable,UHogar,RHogar,UPersonas,RPersonas
dif_banarse,0,0,1,1
dif_calle,0,0,1,1
dif_moverse,0,0,1,1
dif_ninguna,0,0,1,1
diligencias12,0,0,1,0
diligencias4,0,0,1,0
disp_pagar_vr,0,0,1,0
disp_recibir,0,0,1,0
disponibilidad,0,0,1,0
eay_alim_per,1,1,0,0
eay_alim_vr,1,1,0,0
eay_alimentos,1,1,0,0
eay_fam_colom,1,1,0,0
eay_fam_exte,1,1,0,0
eay_fc_per,1,1,0,0
eay_fc_vr,1,1,0,0
eay_fe_per,1,1,0,0
eay_fe_vr,1,1,0,0
eay_otras,1,1,0,0
eay_otras_per,1,1,0,0
eay_otras_vr,1,1,0,0
edad,0,0,1,1
edad_dejoestudio,0,0,1,1
edad_hijo_mayor,0,0,1,1
edad_hijo_mayora,0,0,1,1
edad_hijo_mayorm,0,0,1,1
edad_meses,0,0,1,1
edad_primert,0,0,1,0
edad_retirot,0,0,1,0
edad_tenia,0,0,1,1
edad_tenia_ds,0,0,1,0
edad_unionm,0,0,1,1
educ_madre,0,0,1,1
educ_padre,0,0,1,1
eliminan_basura,1,1,0,0
empleo2,0,0,1,0
empleo2_ta,0,0,1,0
energia_cocinan,1,1,0,0
enfermedad_m,0,0,1,1
enfermedad_p,0,0,1,1
es_bisnieto,0,0,1,1
espalda_m,0,0,1,1
espalda_p,0,0,1,1
est_superiores,0,0,1,1
estaba_fp,0,0,1,0
estaba_sss,0,0,1,0
estado_civil,0,0,1,1
estrato,1,0,0,0
estudia,0,0,1,1
etnia,0,0,1,1
ev_acci,0,0,1,1
ev_ciru,0,0,1,1
ev_enfe,0,0,1,1
ev_ning,0,0,1,1
ev_odon,0,0,1,1
familias_accion,1,1,0,0
fecha_ano_adviv,1,0,0,0
fecha_mes_adviv,1,0,0,0
fechai_ano_1,1,1,0,0
fechai_ano_10,1,0,0,0
fechai_ano_14,1,0,0,0
fechai_ano_2,1,1,0,0
fechai_ano_3,1,1,0,0
fechai_ano_4,1,1,0,0
fechai_ano_5,1,1,0,0
fechai_ano_6,1,1,0,0
fechai_ano_7,1,1,0,0
fechai_ano_8,1,1,0,0
fechai_ano_9,1,0,0,0
fechai_mes_1,1,1,0,0
fechai_mes_10,1,0,0,0
fechai_mes_14,1,0,0,0
fechai_mes_2,1,1,0,0
fechai_mes_3,1,1,0,0
fechai_mes_4,1,1,0,0
fechai_mes_5,1,1,0,0
fechai_mes_6,1,1,0,0
fechai_mes_7,1,1,0,0
fechai_mes_8,1,1,0,0
fechai_mes_9,1,0,0,0
fexhog,1,1,0,0
fexpers,0,0,1,1
fhog,1,1,0,0
finan_educ_pago,0,0,1,1
fpers,0,0,1,1
fue_jornalero,0,0,0,1
fue_jornalero1,0,0,0,1
fue_jornalero10,0,0,0,1
fue_jornalero11,0,0,0,1
fue_jornalero12,0,0,0,1
fue_jornalero2,0,0,0,1
fue_jornalero3,0,0,0,1
fue_jornalero4,0,0,0,1
fue_jornalero5,0,0,0,1
fue_jornalero6,0,0,0,1
fue_jornalero7,0,0,0,1
fue_jornalero8,0,0,0,1
fue_jornalero9,0,0,0,1
fundo_negocio,0,0,1,0
gan_actagr,0,1,0,0
gan_actnag,0,1,0,0
gan_vtaanimales,0,1,0,0
gastritis_m,0,0,1,1
gastritis_p,0,0,1,1
grado_educ,0,0,1,1
grado_educ_cursa,0,0,1,1
gto_t_actagr,0,1,0,0
gto_t_actnag,0,1,0,0
gto_t_vtaanimales,0,1,0,0
hijos_hombres_unionm,0,0,1,1
hijos_mujeres_unionm,0,0,1,1
hizo1c_1,0,1,0,0
hizo1c_2,0,1,0,0
hizo1c_3,0,1,0,0
hizo1c_4,0,1,0,0
hizo1c_5,0,1,0,0
hizo2c_1,0,1,0,0
hizo2c_2,0,1,0,0
hizo2c_3,0,1,0,0
hizo2c_4,0,1,0,0
hizo2c_5,0,1,0,0
hizo3c_2,0,1,0,0
hizo3c_4,0,1,0,0
hizo3c_5,0,1,0,0
hor_aactv1_ma,0,0,0,1
hor_aactv1_no,0,0,0,1
hor_aactv1_ta,0,0,0,1
hor_aactv2_ma,0,0,0,1
hor_aactv2_no,0,0,0,1
hor_aactv2_ta,0,0,0,1
hor_aactv3_ma,0,0,0,1
hor_aactv3_no,0,0,0,1
hor_aactv3_ta,0,0,0,1
hor_aactv4_ma,0,0,0,1
hor_aactv4_no,0,0,0,1
hor_aactv4_ta,0,0,0,1
hor_aactv5_ma,0,0,0,1
hor_aactv5_no,0,0,0,1
hor_aactv5_ta,0,0,0,1
hor_aactv6_ma,0,0,0,1
hor_aactv6_no,0,0,0,1
hor_aactv6_ta,0,0,0,1
horas_2,0,0,1,0
horas_conseguir_t,0,0,1,0
horas_normal,0,0,1,1
horas_normal_pt,0,0,1,0
horas_normal_ta,0,0,1,0
hospital_veces,0,0,1,1
hospitalizado,0,0,1,1
hundimiento,1,1,0,0
icbf,1,1,0,0
id_dpto,1,1,0,0
id_dpto_nac,0,0,1,1
id_dpto_vivia,0,0,1,1
id_dpto_vivia5,0,0,1,1
id_mpio,1,1,0,0
id_mpio_nac,0,0,1,1
id_mpio_vivia,0,0,1,1
id_mpio_vivia5,0,0,1,1
id_mpiou,1,1,0,0
inc_libros,0,0,1,1
inc_otros,0,0,1,1
inc_salidasp,0,0,1,1
inc_solom,0,0,1,1
incapac_perm,0,0,0,1
