variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
desde_edad_3,float64,22179,22120,0.9973,17,0.0 | 12.0 | 2.0 | 1.0 | 3.0,0.0,19.0
desde_mes_3,float64,22179,22177,0.9999,1,3.0,3.0,3.0
desde_ano_3,float64,22179,22177,0.9999,2,1999.0 | 1997.0,1997.0,1999.0
benef_antes_3,float64,22179,22168,0.9995,1,1.0,1.0,1.0
benef_antesm_3,float64,22179,22168,0.9995,9,6.0 | 36.0 | 60.0 | 67.0 | 12.0,1.0,67.0
cod_programa_4,float64,22179,22162,0.9992,4,7.0 | 4.0 | 5.0 | 6.0,4.0,7.0
beneficiario_4,float64,22179,22162,0.9992,2,1.0 | 2.0,1.0,2.0
desde_edad_4,float64,22179,22164,0.9993,8,2.0 | 8.0 | 4.0 | 6.0 | 3.0,1.0,9.0
desde_mes_4,float64,22179,22179,1.0,0,,,
desde_ano_4,float64,22179,22179,1.0,0,,,
benef_antes_4,float64,22179,22177,0.9999,1,1.0,1.0,1.0
benef_antesm_4,float64,22179,22177,0.9999,2,24.0 | 10.0,10.0,24.0
cod_programa_5,float64,22179,22175,0.9998,1,5.0,5.0,5.0
beneficiario_5,float64,22179,22173,0.9997,2,1.0 | 2.0,1.0,2.0
desde_edad_5,float64,22179,22173,0.9997,5,5.0 | 10.0 | 4.0 | 8.0 | 6.0,4.0,10.0
desde_mes_5,float64,22179,22177,0.9999,1,4.0,4.0,4.0
desde_ano_5,float64,22179,22177,0.9999,1,11.0,11.0,11.0
benef_antes_5,float64,22179,22179,1.0,0,,,
benef_antesm_5,float64,22179,22179,1.0,0,,,
fexpers,float64,22179,0,0.0,2879,1.0957783716218326 | 0.9897323400314249 | 0.9227490274563 | 1.184795189115866 | 0.8398511724380588,0.0064500211381893,40.80405258569314
fpers,float64,22179,0,0.0,2879,1552.9869101300494 | 1402.6936544898688 | 1307.7618595938306 | 1679.1455895946397 | 1190.275251849745,9.14126310308955,57829.35782173736
